anime_id,title,type,source,episodes,status,score,scored_by,rank,popularity,members,favorites,premiered,studio,genre
33119,Tokyogurashi!,ONA,Visual novel,1,Finished Airing,4.71,981,9263.0,6336,2564,2,,,"Music, Parody"
13731,Eureka Seven: New Order,Special,Original,1,Finished Airing,6.72,2718,4654.0,4212,7284,2,,Bones,"Adventure, Drama, Mecha, Romance, Sci-Fi"
34924,Nenbutsu Monogatari,OVA,Other,7,Finished Airing,6.25,4,11448.0,13938,51,0,,,Historical
2062,Gall Force 3: Stardust War,OVA,Original,1,Finished Airing,6.53,767,5447.0,7300,1621,5,,"AIC, Artmic, Animate Film","Action, Military, Sci-Fi, Space"
36494,Mekakucity Records,Music,Music,3,Finished Airing,7.69,967,1136.0,5811,3200,18,,,"Music, Psychological, Sci-Fi"
9947,Lan Mao,TV,Original,0,Currently Airing,5.69,49,11059.0,10085,368,0,Summer 1999,,"Adventure, Comedy"
32821,Xiong Chumo Zhi: Dongri Le Fantian,TV,Original,52,Finished Airing,4.14,14,12708.0,13380,82,0,,,"Comedy, Kids"
30942,Ojarumaru: Chitchai Mono no Ookina Chikara,OVA,Unknown,1,Finished Airing,5.67,9,11585.0,13396,81,0,,,"Kids, Historical"
5032,Cobra The Animation,TV,Manga,13,Finished Airing,7.16,2047,2950.0,4781,5292,17,Winter 2010,Magic Bus,"Action, Adventure, Space, Sci-Fi"
4382,Suzumiya Haruhi no Yuuutsu (2009),TV,Light novel,14,Finished Airing,7.27,181648,2546.0,202,306024,1681,Spring 2009,Kyoto Animation,"Sci-Fi, Slice of Life, Mystery, Comedy, Parody, Romance, School"
28207,Ketsuekigata-kun! 2,TV,Web manga,12,Finished Airing,6.63,1383,5069.0,5991,2959,3,Winter 2015,feel.,Comedy
30289,Dededen,Special,Original,5,Finished Airing,5.93,108,7495.0,10733,260,1,,TMS Entertainment,Slice of Life
10715,Towa no Quon 4: Guren no Shoushin,Movie,Original,1,Finished Airing,7.71,13228,1094.0,2444,23494,11,,Bones,"Action, Super Power, Supernatural"
2243,Karasu Tengu Kabuto,TV,Unknown,39,Finished Airing,6.75,225,4531.0,7552,1433,3,Summer 1990,,"Action, Adventure, Historical, Drama"
34519,Mobile Suit Gakuen: G-Reco Koushien,Special,Original,9,Finished Airing,5.42,68,8516.0,10099,366,0,,Studio PuYUKAI,"Comedy, Parody, Sports, Mecha"
23407,Toki: Kono Hoshi no Mirai wo Mitsumete,Special,Unknown,2,Finished Airing,5.9,10,12454.0,12901,104,0,,,"Historical, Drama"
32142,Takemoto Denki x Peeping Life,ONA,Original,1,Finished Airing,4.15,40,12345.0,11806,159,0,,,"Comedy, Slice of Life"
29822,Channel 5.5 2nd Season,ONA,Unknown,4,Finished Airing,5.36,117,8587.0,9695,454,0,,DLE,"Parody, Comedy"
271,Gad Guard,TV,Original,26,Finished Airing,6.77,3294,4444.0,3726,9697,17,Spring 2003,Gonzo,"Sci-Fi, Adventure, Mecha, Shounen"
9526,Wolf Guy,OVA,Unknown,6,Finished Airing,5.56,118,8274.0,8963,686,2,,J.C.Staff,"Action, Military, Sci-Fi"
8287,SD Gundam Sangokuden Brave Battle Warriors,TV,Original,51,Finished Airing,6.46,842,5775.0,6075,2860,2,Spring 2010,Sunrise,"Action, Mecha, Historical"
27629,Tantei Kageki Milky Holmes TD,TV,Card game,12,Finished Airing,6.45,2028,5824.0,4516,6044,7,Winter 2015,"J.C.Staff, Nomad","Comedy, Mystery, Super Power"
4387,UFO Robo Grendizer tai Great Mazinger,Movie,Unknown,1,Finished Airing,6.56,574,5392.0,7886,1223,2,,,"Mecha, Sci-Fi"
2120,Captain Tsubasa: Asu ni Mukatte Hashire!,Movie,Unknown,1,Finished Airing,6.86,1465,4062.0,5935,3032,2,,,"Action, Sports, Shounen"
31919,PriPara Movie: Mi~nna no Akogare♪ Let&#039;s Go☆Prix Paris,Movie,Game,1,Finished Airing,7.16,245,2973.0,8470,904,3,,Tatsunoko Production,"Music, Slice of Life, School, Shoujo"
2362,Run=Dim,TV,Unknown,13,Finished Airing,5.13,253,8924.0,7710,1320,1,Spring 2001,,"Action, Mecha, Sci-Fi"
4282,Kara no Kyoukai 5: Mujun Rasen,Movie,Light novel,1,Finished Airing,8.63,78701,65.0,594,139495,2994,,ufotable,"Action, Mystery, Supernatural, Drama, Romance, Thriller"
6068,Sensei no Ojikan: Doki Doki School Hours OVA,OVA,4-koma manga,7,Finished Airing,6.67,708,4906.0,7278,1641,1,,J.C.Staff,"Comedy, School"
22591,Patalliro Saiyuuki! Special,Special,Unknown,1,Finished Airing,6.3,30,11724.0,10295,331,0,,,"Adventure, Comedy, Fantasy, Shoujo, Shounen Ai"
14189,Tasogare Otome x Amnesia: Taima Otome,Special,Manga,1,Finished Airing,7.56,27955,1475.0,1566,48271,64,,Silver Link.,"Horror, Mystery, Romance, School, Shounen, Supernatural"
36761,Osomatsu-san Short Film Series 2nd Season,Special,Manga,4,Currently Airing,5.65,23,11666.0,7487,1475,1,,,"Comedy, Parody"
34776,Eureka Seven AO Final Episode: One More Time - Lord Don&#039;t Slow Me Down,ONA,Manga,5,Finished Airing,6.72,633,4655.0,5561,3591,1,,Bones,"Action, Adventure, Drama, Mecha, Sci-Fi"
